,type,name,folow_to,length_km,area_km²,edge
437,Река,Новешка,река  ИСТЬЯ,16,"65,6",ИСТЬЯ
439,Река,Астра,река  Нор-Ломовка  (Норломов),10,0,Нор-Ломовка  (Норломов)
440,Река,"без  названия,  у  с.  Ананьино",река  Нор-Ломовка  (Норломов),10,0,Нор-Ломовка  (Норломов)
441,Река,Злынка,река  НУГРЬ,13,0,НУГРЬ
442,Река,Ждимерка,река  НУГРЬ,10,0,НУГРЬ
443,Река,Нулуй,река  МОКША,22,210,МОКША
446,Река,Веджа,река  Ожга,12,0,Ожга
447,Река,Вейна,река  ОЗЕРНА,16,"64,9",ОЗЕРНА
448,Река,Озерная,река  Озерка,13,0,Озерка
449,Река,Озерная  (Каменка),река  ВОЛОСТА,24,"94,5",ВОЛОСТА
450,Река,ОЗЕРО  ЛЕСНОЕ,река  ЛЕСНОЙ  ТАМБОВ,24,166,ЛЕСНОЙ  ТАМБОВ
451,Река,НЕРЕХТА,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,49,415,ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
452,Река,БЕРЕЗКА,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,11,0,ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
453,Река,ДУБНА,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,43,280,ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
454,Река,ВЫРКА,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,15,102,ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
455,Река,ДРЕЗНА,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,33,164,ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
456,Река,ЗАГРЕБКА,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,18,"58,8",ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
457,Река,АЛЬБА,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,17,70,ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
458,Река,Озерчанка,река  ЖИЗДРА,10,0,ЖИЗДРА
459,Река,"без  названия,  у  с.  Большая  Тарка",река  Ока,10,0,Ока
460,Река,"без  названия,  у  с.  Михалицы",река  Ока,11,0,Ока
461,Река,Мотра,река  Ока,48,306,Ока
462,Река,Дубровка  (Вершинская),река  Ока,38,127,Ока
463,Река,Кокша  (Маулинка),река  Ока,38,168,Ока
464,Река,Вянка,река  Ока,34,239,Ока
465,Река,Мышца,река  Ока,17,"67,6",Ока
466,Река,Аленка,река  Ока,11,0,Ока
467,Река,Кистрянка,река  Ока,13,0,Ока
468,Река,"без  названия,  у  с.  Гавердово",река  Ока,17,"55,6",Ока
469,Река,Митяевка,река  Ока,12,0,Ока
470,Река,Большое  Смедово  (Смедва),река  Ока,65,562,Ока
471,Река,Беспута,река  Ока,70,1000,Ока
472,Река,Киреевка,река  Ока,12,0,Ока
473,Река,Дряща  (Дряша),река  Ока,21,102,Ока
474,Река,Крушма,река  Ока,54,406,Ока
475,Река,Дугна,река  Ока,28,197,Ока
476,Река,Комола  (Камола),река  Ока,13,0,Ока
477,Река,Желовь  (Мужачь),река  Ока,32,217,Ока
478,Река,Вялка,река  Ока,14,0,Ока
479,Река,Жерновка,река  Ока,10,"29,8",Ока
480,Река,Большая  Вырка  (Нижняя  Вырка),река  Ока,18,"95,9",Ока
481,Река,Березовка,река  Ока,12,0,Ока
482,Река,Вырка,река  Ока,15,"48,2",Ока
483,Река,"без  названия,  у  с.  Жуково",река  Ока,11,0,Ока
484,Река,Важенка,река  Ока,18,"97,7",Ока
485,Река,Березуйка,река  Ока,22,186,Ока
486,Река,"без  названия,  у  с.  Акульчинский",река  Ока,12,0,Ока
487,Река,Кнубрь,река  Ока,17,"61,7",Ока
488,Река,Озерна,река  Ока,13,0,Ока
489,Река,Литобеж,река  Ока,12,0,Ока
490,Озеро,Вяна,река  Ока,"0,56",0,Ока
491,Река,Окша  (Вакша),река  Кишня,16,237,Кишня
492,Река,Кишня,река  Ока,33,572,Ока
493,Река,Батурка,река  ОЛЕНЬ,10,0,ОЛЕНЬ
494,Река,Ольховец,река  Озерка,11,0,Озерка
495,Река,Озерка,река  НЕРУЧЬ,26,221,НЕРУЧЬ
497,Река,Ольшанка,река  Выша  (Нокса),12,0,Выша  (Нокса)
498,Река,Ольшанка,река  Ламочка  (Лампочка),17,"72,7",Ламочка  (Лампочка)
499,Река,Ольшанка,река  Вязь,10,0,Вязь
500,Река,Вязь,водохранилище  вдхр  Пестовское,15,"67,7",вдхр  Пестовское
501,Река,ЛЕГОЩА,река  ОПТУХА,20,115,ОПТУХА
502,Река,"без  названия,  у  с.  Знаменка",река  ОПТУХА,10,0,ОПТУХА
503,Река,ОПТУШКА,река  ОПТУХА,31,201,ОПТУХА
504,Река,Оранка,река  Медынка,11,0,Медынка
505,Река,Липовка,река  ОРЛЕВ,12,0,ОРЛЕВ
506,Река,Козинка,река  ОРЛИК,12,0,ОРЛИК
507,Река,Орлица,река  ОРЛИК,28,124,ОРЛИК
508,Река,Орс,река  НУГРЬ,30,174,НУГРЬ
509,Река,Матырка,река  ОСЕТР,13,"46,2",ОСЕТР
510,Река,М.ОСЕТРИК,река  ОСЕТР,31,174,ОСЕТР
511,Река,Нызнанка,река  ОСЕТР,17,"85,6",ОСЕТР
512,Река,Велишка,река  ОСЕТР,10,0,ОСЕТР
513,Река,КУДЕСНА,река  ОСЕТР,32,246,ОСЕТР
514,Река,БЕРЕЗИНКА,река  ОСЕТР,39,366,ОСЕТР
515,Река,Мордвес,река  ОСЕТР,49,273,ОСЕТР
516,Река,"без  названия,  у  с.  Исаково",река  ОСЕТР,15,"53,1",ОСЕТР
517,Ручьи,ОСЕТРИК,река  ОСЕТР,19,"81,4",ОСЕТР
518,Река,Осиновка,река  Ванчуга,11,0,Ванчуга
519,Река,Ванчуга,река  Войнинга,20,"84,7",Войнинга
520,Река,ОСТРОВКА,река  МОСКВА,16,"46,7",МОСКВА
521,Река,ОТРА,река  МОСКВА,32,223,МОСКВА
522,Река,"без  названия,  у  с.  Аргуново",река  ОТРА,11,0,ОТРА
523,Река,"без  названия,  у  с.  Давыдово",река  ОТРА,12,0,ОТРА
524,Река,Очка,река  Ока,10,0,Ока
525,Река,"без  названия,  у  с.  Никольского",река  ПАВЛОВКА,12,0,ПАВЛОВКА
526,Река,ПАЖА,река  ВОРЯ,30,111,ВОРЯ
527,Река,Палевка,река  МОСКВА,"2,5","8,7",МОСКВА
528,Река,Палишня,река  ИСТРА,11,28,ИСТРА
529,Река,Пальна,река  Искона,12,"62,3",Искона
530,Река,Пальная,река  ВОЖА,30,219,ВОЖА
531,Река,"без  названия,  у  с.  Свистово",река  Пальная,10,0,Пальная
532,Река,Вязовка,река  Пальная,13,0,Пальная
533,Река,Паниковец,река  ЗУША,26,176,ЗУША
534,Река,Ибреда,река  ПАРА,24,110,ПАРА
535,Река,Алешина,река  ПАРА,21,110,ПАРА
536,Река,ВЕРДА,река  ПАРА,75,830,ПАРА
537,Река,Грязная,река  ПАРА,16,102,ПАРА
538,Озеро,Белое,река  ПАРАМАРКА/ЛЮБЛИНКА/,"0,23",0,ПАРАМАРКА/ЛЮБЛИНКА/
541,Река,Лундан,река  ПАРЦА,36,275,ПАРЦА
542,Река,Паршевка,река  Железница,14,0,Железница
543,Река,ПАТРА,река  ПАРЦА,10,0,ПАРЦА
544,Река,ПАРЦА,река  ВАД,117,2700,ВАД
545,Река,Жданка,река  ПАХРА,12,"72,4",ПАХРА
546,Река,БИТЦА,река  ПАХРА,24,101,ПАХРА
547,Река,Гвоздянка,река  ПАХРА,14,"41,9",ПАХРА
548,Река,Конопелка,река  ПАХРА,13,"49,7",ПАХРА
549,Река,Пачога,река  ОСЕТР,34,237,ОСЕТР
550,Река,Красноселька,река  Пачога,11,0,Пачога
551,Река,ПЕЖА,река  ВЯЗЬМА,12,0,ВЯЗЬМА
553,Река,Мулига,река  ПЕКША,16,26,ПЕКША
554,Река,Воскресенка,река  ПЕКША,10,0,ПЕКША
555,Река,Нергель,река  ПЕКША,24,"61,5",ПЕКША
556,Река,ИЛЬМОВКА,река  ПЕКША,26,123,ПЕКША
557,Река,Пажа,река  ПЕКША,10,0,ПЕКША
558,Река,Мурмага  (Мурмога),река  ПЕКША,20,77,ПЕКША
559,Река,Пельня,река  КАЛУЖКА,12,0,КАЛУЖКА
561,Река,Пениковка  (Паниковка),река  Ока,14,0,Ока
562,Река,Пенюх,река  Лух,15,116,Лух
563,Река,Передут 1075    по  пр.  берегу  р.  Ока,в  1075    от  устья,10,0,в  1075    от  устья
564,Река,ПЕРИНКА,река  ЛУЖА,11,0,ЛУЖА
565,Река,ПЕРКА,река  ВЕРДА,10,31,ВЕРДА
566,Озеро,Перкино,река  Ока,"0,66",0,Ока
567,Река,Песоченка,река  Дубровня,12,0,Дубровня
568,Река,Дубровня,река  ВЫТЕБЕТЬ,10,0,ВЫТЕБЕТЬ
569,Река,Песочинка  (Березовка),река  ПАРА,14,137,ПАРА
570,Река,ПЕСОЧНАЯ,река  ИСТРА,24,152,ИСТРА
571,Река,"без  названия,  у  с.  Кашино",река  ПЕСОЧНАЯ,16,"55,5",ПЕСОЧНАЯ
572,Река,Песочная,река  ГРЯЗНА,14,0,ГРЯЗНА
573,Река,ГРЯЗНА,река  ЖИЗДРА,29,177,ЖИЗДРА
574,Река,Песочная,река  Меча,10,0,Меча
575,Река,Меча,река  ИСТЬЯ,27,"73,8",ИСТЬЯ
576,Река,Песочная  (Песочня),река  ЖИЗДРА,16,"44,6",ЖИЗДРА
577,Река,Песочня,река  МОСКВА,19,"68,6",МОСКВА
578,Река,Песочня,река  ВЫТЕБЕТЬ,13,0,ВЫТЕБЕТЬ
579,Река,Песочня,река  ЖИЗДРА,22,"74,8",ЖИЗДРА
580,Река,Песочня,река  ЖИЗДРА,20,125,ЖИЗДРА
581,Река,"без  названия,  у  с.  Мокрохохловки",река  ПЕТ,10,0,ПЕТ
582,Река,ПЕТАС,река  ПЕТ,18,138,ПЕТ
583,Река,ПЕТРИЦА,река  МОЧА,10,0,МОЧА
584,Река,МОЧА,река  ПАХРА,58,482,ПАХРА
585,Река,Петровка,река  ЛЮЛЕХ,11,0,ЛЮЛЕХ
586,Река,ПЕХОРКА,река  МОСКВА,42,523,МОСКВА
587,Река,Малашка,река  ПЕХОРКА,"4,3","21,5",ПЕХОРКА
588,Река,Печуга,река  ПЕЧУГА,13,0,ПЕЧУГА
590,Река,ПИЗЯЕВКА,река  ОРЛЕВ,21,"79,1",ОРЛЕВ
591,Река,Пиклия,река  НЕРЛЬ,16,"90,8",НЕРЛЬ
592,Река,Пилис,река  МЕЧА,30,100,МЕЧА
594,Река,Пичкиряс,река  ВАД,20,95,ВАД
596,Река,"без  названия,  у  с.  Шиклово",река  ПИЧКУРА,10,0,ПИЧКУРА
597,Река,Горелый  Крест,река  ПИЧКУРА,13,"56,9",ПИЧКУРА
598,Река,Казарка,река  ПЛАВА,12,0,ПЛАВА
599,Река,Малынь,река  ПЛАВА,28,143,ПЛАВА
600,Река,Локна,река  ПЛАВА,21,178,ПЛАВА
601,Река,Мармыжка,река  ПЛАВА,11,0,ПЛАВА
602,Река,Плавица,река  ПЛАВА,30,218,ПЛАВА
603,Река,Плесенка,река  НАРА,15,"94,2",НАРА
604,Река,Плисна,река  Ока,12,0,Ока
605,Река,ПЛОТНЯ,река  ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ,10,0,ОЗЕРО  МАЛЫЕ  ПОДБОРЦЫ
606,Река,Подокса,река  ВЯЗЬМА,27,163,ВЯЗЬМА
607,Озеро,Западное,река  Подокса,"0,52",0,Подокса
609,Река,Подыкса  (Раек),река  НЕРЛЬ,35,255,НЕРЛЬ
610,Река,Березка,река  Подыкса  (Раек),14,0,Подыкса  (Раек)
611,Озеро,Коптевское,река  Подыкса  (Раек),"0,6",0,Подыкса  (Раек)
612,Река,Коровка,река  ПОЖВА,10,50,ПОЖВА
613,Река,Мошка,река  ПОЖВА,16,"84,9",ПОЖВА
614,Река,Пожня,река  Искона,16,112,Искона
615,Река,Полевая  Веркуша,река  Веркуша  (Лесная  Веркуша),15,"71,6",Веркуша  (Лесная  Веркуша)
616,Река,Веркуша  (Лесная  Веркуша),река  ОСЕТР,24,220,ОСЕТР
617,Озеро,Полецкое,река  НАРА,"0,6",0,НАРА
618,Река,Полосня,река  ОСЕТР,27,280,ОСЕТР
619,Река,Полоть,река  Воря,28,131,Воря
620,Река,Полуга,река  Воря,17,"49,4",Воря
621,Река,ВИЖНИЦА,река  ПОЛЬ  (ПОЛЯ),12,0,ПОЛЬ  (ПОЛЯ)
622,Река,Полька  (Мелисья),река  ИСТЬЯ,18,101,ИСТЬЯ
623,Река,ВОЙМЕГА,река  ПОЛЯ,27,534,ПОЛЯ
624,Река,Вишкурт 52    по  лв.  берегу  р.  Поля,в  52    от  устья,3,0,в  52    от  устья
625,Река,Полиха,река  ПОЛЯ,11,79,ПОЛЯ
626,Озеро,Большое  Замошенское  (Большое  Замошное),река  ПОЛЯ,"0,64",0,ПОЛЯ
